"Transactions  for account play_money XXXX-2974 as of 10/22/2019 12:48:07 ET From 04/22/2019 to 10/22/2019"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount",
"10/22/2019","Sell to Close","TSLA 11/29/2019 255.00 C","CALL TESLA INC $255 EXP 11/29/19","1","$17.50","$0.69","$1749.31",
"10/22/2019","Buy to Open","TSLA 11/29/2019 255.00 C","CALL TESLA INC $255 EXP 11/29/19","1","$16.00","$0.65","-$1600.65",
"10/21/2019","Sell to Close","TSLA 10/25/2019 257.50 P","PUT TESLA INC $257.5 EXP 10/25/19","1","$12.24","$0.68","$1223.32",
"10/21/2019","Buy to Open","TSLA 10/25/2019 257.50 P","PUT TESLA INC $257.5 EXP 10/25/19","1","$10.55","$0.65","-$1055.65",
"10/18/2019","Sell to Close","MU 12/20/2019 46.00 P","PUT MICRON TECHNOLOGY $46 EXP 12/20/19","1","$3.67","$0.66","$366.34",
"10/17/2019","Buy to Open","MU 12/20/2019 46.00 P","PUT MICRON TECHNOLOGY $46 EXP 12/20/19","1","$2.96","$0.65","-$296.65",
"10/16/2019 as of 10/15/2019","Bank Interest","","BANK INT 091619-101519 SCHWAB BANK","","","","$1.40",
"10/15/2019","Buy","WM","WASTE MANAGEMENT INC","20","$115.9625","","-$2319.25",
"10/15/2019","Buy","PSA","PUBLIC STORAGE REIT","10","$242.1438","","-$2421.44",
"10/15/2019","Buy","FB","FACEBOOK INC CLASS A","1","$189.635","","-$189.64",
"10/15/2019","Buy","GOOGL","ALPHABET INC. CLASS A","1","$1245.2863","","-$1245.29",
"10/15/2019","Buy","MSFT","MICROSOFT CORP","2","$141.565","","-$283.13",
"10/15/2019","Buy","V","VISA INC CLASS A","8","$179.05","","-$1432.40",
"10/15/2019","Buy","DIS","WALT DISNEY CO","12","$130.2699","","-$1563.24",
"10/15/2019","Buy","COST","COSTCO WHOLESALE CO","7","$298.365","","-$2088.56",
"10/15/2019","Sell","JPM","J P MORGAN CHASE & CO","10","$120.7022","$0.02","$1207.00",
"10/15/2019","Sell","YUM","YUM BRANDS INC","0.0123","$111.26","","$1.37",
"10/15/2019","Sell","CCL","CARNIVAL CORP F","30","$42.685","$0.03","$1280.52",
"10/15/2019","Sell","AYX","ALTERYX INC","15","$113.3071","$0.04","$1699.57",
"10/15/2019","Buy to Open","NVDA 11/15/2019 200.00 C","CALL NVIDIA CORP $200 EXP 11/15/19","1","$8.40","$0.65","-$840.65",
"10/15/2019","Sell to Close","SPY 10/23/2019 298.00 C","CALL SPDR S&P 500 $298 EXP 10/23/19","1","$2.50","$0.66","$249.34",
"10/15/2019","Buy to Open","SPY 10/23/2019 298.00 C","CALL SPDR S&P 500 $298 EXP 10/23/19","1","$1.87","$0.65","-$187.65",
"10/15/2019","Sell to Close","SPY 10/16/2019 294.00 P","PUT SPDR S&P 500 $294 EXP 10/16/19","1","$0.16","$0.65","$15.35",
"10/14/2019","Sell to Close","AAPL 10/18/2019 230.00 P","PUT APPLE INC $230 EXP 10/18/19","1","$0.68","$0.65","$67.35",
"10/14/2019","Sell","AAL","AMERICAN AIRLS GROUP","500","$27.2163","$0.28","$13607.87",
"10/14/2019 as of 10/11/2019","Exchange or Exercise","AAL 10/11/2019 27.00 C","CALL AMERICAN AIRLS GROU$27 EXP 10/11/19","-5","","","",
"10/14/2019 as of 10/11/2019","Buy","AAL","AMERICAN AIRLS GROUP","500","$27.00","","-$13500.00",
"10/11/2019","Buy to Open","AAL 10/11/2019 27.00 C","CALL AMERICAN AIRLS GROU$27 EXP 10/11/19","5","$0.37","$3.32","-$188.32",
"10/11/2019","Buy to Open","SPY 10/16/2019 294.00 P","PUT SPDR S&P 500 $294 EXP 10/16/19","1","$1.59","$0.65","-$159.65",
"10/11/2019","Buy to Open","AAPL 10/18/2019 230.00 P","PUT APPLE INC $230 EXP 10/18/19","1","$2.23","$0.65","-$223.65",
"10/10/2019","Sell to Close","NVDA 10/25/2019 182.50 C","CALL NVIDIA CORP $182.5 EXP 10/25/19","1","$6.45","$0.66","$644.34",
"10/10/2019","Sell","BRKB","BERKSHIRE HATHAWAY CLASS B","5","$206.37","$0.02","$1031.83",
"10/10/2019","Buy to Open","NVDA 10/25/2019 182.50 C","CALL NVIDIA CORP $182.5 EXP 10/25/19","1","$5.20","$0.65","-$520.65",
"10/07/2019","Sell to Close","BBBY 10/11/2019 10.00 P","PUT BED BATH & BEYOND $10 EXP 10/11/19","1","$0.22","$0.65","$21.35",
"10/01/2019","Cash Dividend","VOO","VANGUARD S&P 500 ETF","","","","$26.03",
"10/01/2019","Sell to Close","GME 10/04/2019 5.50 P","PUT GAMESTOP CORP $5.5 EXP 10/04/19","5","$0.15","$8.28","$66.72",
"09/30/2019","Cash Dividend","REET","ISHARES GLOBAL REIT ETF","","","","$25.83",
"09/30/2019","Reinvest Shares","VNQ","VANGUARD REAL ESTATE ETF","0.1054","$93.2807","","-$9.83",
"09/30/2019","Sell to Close","AMD 10/04/2019 30.00 P","PUT ADVANCED MICRO DEVIC$30 EXP 10/04/19","1","$1.59","$5.60","$153.40",
"09/30/2019","Buy to Open","BBBY 10/11/2019 10.00 P","PUT BED BATH & BEYOND $10 EXP 10/11/19","1","$0.64","$5.60","-$69.60",
"09/30/2019","Buy to Open","GME 10/04/2019 5.50 P","PUT GAMESTOP CORP $5.5 EXP 10/04/19","2","$0.29","$3.30","-$61.30",
"09/30/2019","Buy to Open","GME 10/04/2019 5.50 P","PUT GAMESTOP CORP $5.5 EXP 10/04/19","3","$0.29","$4.96","-$91.96",
"09/27/2019","Reinvest Dividend","VNQ","VANGUARD REAL ESTATE ETF","","","","$9.83",
"09/27/2019","Sell to Close","SQ 10/04/2019 61.50 P","PUT SQUARE INC $61.5 EXP 10/04/19","1","$1.95","$5.60","$189.40",
